Aggregation Strategy,NCCL Algo,NCLL Proto,Multiple CUDA Streams,Contiguous Memory,Average Time (s),Theoretical Throughput (Gb/s),Real Throughput (Gb/s),Max GPU RAM Allocated (GB)
layer_by_layer_optimized,nvls,LL,False,False,1.7275024430515866,104.73110610506357,111.5635296072602,16.060523008
layer_by_layer_optimized,nvls,LL,False,True,1.715384526643902,113.83218011891249,112.35164300395267,16.060523008
layer_by_layer_optimized,nvls,LL,True,False,1.6663127756522347,115.09215078020054,115.66032066012475,16.060523008
layer_by_layer_optimized,nvls,LL,True,True,1.6834950546423595,115.01385862147653,114.47985512077588,16.060523008
layer_by_layer_optimized,nvls,LL128,False,False,1.8263333156549681,111.17892679313354,105.52633974312822,16.060523008
layer_by_layer_optimized,nvls,LL128,False,True,1.7464131070300937,107.85039785021445,110.35548758549199,16.060523008
layer_by_layer_optimized,nvls,LL128,True,False,1.6697482276552666,115.49093982267145,115.422353358407,16.060523008
layer_by_layer_optimized,nvls,LL128,True,True,1.6688786396601547,115.09370077587427,115.48249547447392,16.060523008
layer_by_layer_optimized,nvlstree,SIMPLE,False,False,1.753465698643898,112.09820517210674,109.91162821208957,16.060523008
layer_by_layer_optimized,nvlstree,SIMPLE,False,True,1.8489507546958823,108.96922100302172,104.2354802920102,16.060523008
layer_by_layer_optimized,nvlstree,SIMPLE,True,False,1.6721805233197908,115.704189314029,115.25446401527228,16.060523008
layer_by_layer_optimized,nvlstree,SIMPLE,True,True,1.6519160913303494,116.92037577444144,116.6683168494293,16.060523008
layer_by_layer_optimized,nvlstree,LL,False,False,1.7444894186531503,111.30954253544618,110.477179105389,16.060523008
layer_by_layer_optimized,nvlstree,LL,False,True,1.7367577236921836,110.30548771323251,110.96900121582996,16.060523008
layer_by_layer_optimized,nvlstree,LL,True,False,1.6846901436025898,116.33728171209023,114.39864516561401,16.060523008
layer_by_layer_optimized,nvlstree,LL,True,True,1.658885984060665,115.86604912405147,116.17812905998493,16.060523008
layer_by_layer_optimized,nvlstree,LL128,False,False,1.7528509073114644,106.17807523521039,109.95017839115877,16.060523008
layer_by_layer_optimized,nvlstree,LL128,False,True,1.7391930509669085,112.21455253202564,110.81361545508325,16.060523008
layer_by_layer_optimized,nvlstree,LL128,True,False,1.6533613870075594,115.5966729829069,116.56633054726035,16.060523008
layer_by_layer_optimized,nvlstree,LL128,True,True,1.656497750043248,115.84422676311881,116.34562736168418,16.060523008
layer_by_layer_optimized,pat,SIMPLE,False,False,1.7752937572853018,111.93450052084775,108.56021385818887,16.060523008
layer_by_layer_optimized,pat,SIMPLE,False,True,1.7173229400068521,105.6070999318423,112.22482706207313,16.060523008
layer_by_layer_optimized,pat,SIMPLE,True,False,1.6662134183570743,115.24660934830695,115.66721755369888,16.060523008
layer_by_layer_optimized,pat,SIMPLE,True,True,1.6674307403154671,115.4848147478038,115.58277372020706,16.060523008
layer_by_layer_optimized,pat,LL,False,False,1.7109378583263606,109.31374765993546,112.64364103821097,16.060523008
layer_by_layer_optimized,pat,LL,False,True,1.8617624466617901,110.98007595769522,103.51818530745716,16.060523008
layer_by_layer_optimized,pat,LL,True,False,1.6695665230508894,116.19653878319903,115.4349151657766,16.060523008
layer_by_layer_optimized,pat,LL,True,True,1.658327089700227,115.15585425473337,116.21728376085251,16.060523008
layer_by_layer_optimized,pat,LL128,False,False,1.758948065340519,104.76187335893307,109.56905081486283,16.060523008
layer_by_layer_optimized,pat,LL128,False,True,1.7129430889617652,110.07787543857435,112.51177648220273,16.060523008
layer_by_layer_optimized,pat,LL128,True,False,1.6836904810431104,115.84909401902513,114.46656741362506,16.060523008
layer_by_layer_optimized,pat,LL128,True,True,1.6854090422857553,115.02105858387445,114.34984927494173,16.060523008
bucket_flatten,ring,SIMPLE,False,False,1.7658281586288165,112.87783317796726,109.14214331118943,48.181568
bucket_flatten,ring,SIMPLE,False,True,1.749379316965739,111.9493908005012,110.1683711948073,48.181568
bucket_flatten,ring,SIMPLE,True,False,1.7236577672883868,117.76690267304897,111.81237575669788,37.712192
bucket_flatten,ring,SIMPLE,True,True,1.7177386727028836,116.92908114226822,112.1976660447091,37.712192
bucket_flatten,ring,LL,False,False,1.7721198946237564,111.54969701753244,108.75464495189716,48.181568
bucket_flatten,ring,LL,False,True,1.7634472536544006,113.30376440280675,109.28950075065323,48.181568
bucket_flatten,ring,LL,True,False,1.7103234036670376,114.3064297933995,112.68410964779126,37.712192
bucket_flatten,ring,LL,True,True,1.709256919954593,117.12333583261217,112.75441842711383,37.712192
bucket_flatten,ring,LL128,False,False,1.772500905673951,112.35729945706912,108.73126740588066,48.181568
bucket_flatten,ring,LL128,False,True,1.767002518987283,110.6246568847526,109.06960679515988,48.181568
bucket_flatten,ring,LL128,True,False,1.7089157373799633,116.24038339734827,112.7769296849473,37.712192
bucket_flatten,ring,LL128,True,True,1.720727912305544,117.31873934067144,112.00275684130256,37.712192
bucket_flatten,tree,SIMPLE,False,False,1.7864761329255998,113.12028273899615,107.8806855574299,48.181568
bucket_flatten,tree,SIMPLE,False,True,1.7587461926353474,112.15880309475787,109.58162738832391,48.181568
bucket_flatten,tree,SIMPLE,True,False,1.7065462366833042,117.45287342792767,112.93351789082853,37.712192
bucket_flatten,tree,SIMPLE,True,True,1.7025737763227273,117.37390444288123,113.19701538470557,37.712192
bucket_flatten,tree,LL,False,False,1.7431999746865283,111.30034145347659,110.55889900793345,48.181568
bucket_flatten,tree,LL,False,True,1.7479640196543187,113.68672930276416,110.25757268740233,48.181568
bucket_flatten,tree,LL,True,False,1.711556590627879,117.51196183220412,112.60292005962772,37.712192
bucket_flatten,tree,LL,True,True,1.7114032736668985,117.42306032410742,112.61300765135242,37.712192
bucket_flatten,tree,LL128,False,False,1.7778095733374357,111.77906030221439,108.40658799592352,48.181568
bucket_flatten,tree,LL128,False,True,1.7823143657296896,113.17855299934524,108.1325907806936,48.181568
bucket_flatten,tree,LL128,True,False,1.6972176499354343,116.15222450033393,113.55424565572464,37.712192
bucket_flatten,tree,LL128,True,True,1.7358082336528848,117.47558977444329,111.02970144715887,37.712192
bucket_flatten,collnet,SIMPLE,False,False,1.7759664533659816,113.42878368569477,108.51909369500011,48.181568
bucket_flatten,collnet,SIMPLE,False,True,1.7545812317014982,111.51792060186204,109.84174825870244,48.181568
bucket_flatten,collnet,SIMPLE,True,False,1.7139525326589744,116.95986781657382,112.44551192617351,37.712192
bucket_flatten,collnet,SIMPLE,True,True,1.7019740863082309,115.67004083201756,113.23690031617608,37.712192
bucket_flatten,collnet,LL,False,False,1.7475571226483833,111.50986493934765,110.28324479598565,48.181568
bucket_flatten,collnet,LL,False,True,1.7551348220246534,112.94512790832154,109.80710286955545,48.181568
bucket_flatten,collnet,LL,True,False,1.7270928799795608,117.48863686712691,111.58998579988403,37.712192
bucket_flatten,collnet,LL,True,True,1.7304204766793798,117.14153546569202,111.37539837822274,37.712192
bucket_flatten,collnet,LL128,False,False,1.7672148833516985,111.48427665441055,109.05650001457407,48.181568
bucket_flatten,collnet,LL128,False,True,1.7732817276846617,112.97287088595449,108.68339020423947,48.181568
bucket_flatten,collnet,LL128,True,False,1.7235388446133584,117.1901709687858,111.82009071297394,37.712192
bucket_flatten,collnet,LL128,True,True,1.7182436680110793,117.24911721138092,112.16469092249685,37.712192
bucket_flatten,collnetchain,SIMPLE,False,False,1.761754367655764,111.84959289591302,109.39451803854277,48.181568
bucket_flatten,collnetchain,SIMPLE,False,True,1.7576498153309028,111.16318111983023,109.649981623738,48.181568
bucket_flatten,collnetchain,SIMPLE,True,False,1.7238534839513402,116.1068024373143,111.79968120622492,37.712192
bucket_flatten,collnetchain,SIMPLE,True,True,1.7617657100005697,117.23566059118802,109.39381375060232,37.712192
bucket_flatten,collnetchain,LL,False,False,1.7776194599767525,112.33278519091492,108.4181818950837,48.181568
bucket_flatten,collnetchain,LL,False,True,1.7595745833435406,113.21910856424712,109.53003741721587,48.181568
bucket_flatten,collnetchain,LL,True,False,1.7018820200270663,115.95881085587042,113.2430260641304,37.712192
bucket_flatten,collnetchain,LL,True,True,1.7178159886971116,116.99247927319523,112.192616217395,37.712192
bucket_flatten,collnetchain,LL128,False,False,1.765352730328838,113.11255936342843,109.17153645328446,48.181568
bucket_flatten,collnetchain,LL128,False,True,1.7552646213832002,112.12204725768865,109.79898278820548,48.181568
